,date,rate
199,27.03.2023,36.5686
200,26.03.2023,36.5686
201,25.03.2023,36.5686
202,24.03.2023,36.5686
203,23.03.2023,36.5686
204,22.03.2023,36.5686
205,21.03.2023,36.5686
206,20.03.2023,36.5686
207,19.03.2023,36.5686
208,18.03.2023,36.5686
209,17.03.2023,36.5686
210,16.03.2023,36.5686
211,15.03.2023,36.5686
212,14.03.2023,36.5686
213,13.03.2023,36.5686
214,12.03.2023,36.5686
215,11.03.2023,36.5686
216,10.03.2023,36.5686
217,09.03.2023,36.5686
218,08.03.2023,36.5686
219,07.03.2023,36.5686
220,06.03.2023,36.5686
221,05.03.2023,36.5686
222,04.03.2023,36.5686
223,03.03.2023,36.5686
224,02.03.2023,36.5686
225,01.03.2023,36.5686
226,28.02.2023,36.5686
227,27.02.2023,36.5686
228,26.02.2023,36.5686
229,25.02.2023,36.5686
230,24.02.2023,36.5686
231,23.02.2023,36.5686
232,22.02.2023,36.5686
233,21.02.2023,36.5686
234,20.02.2023,36.5686
235,19.02.2023,36.5686
236,18.02.2023,36.5686
237,17.02.2023,36.5686
238,16.02.2023,36.5686
239,15.02.2023,36.5686
240,14.02.2023,36.5686
241,13.02.2023,36.5686
242,12.02.2023,36.5686
243,11.02.2023,36.5686
244,10.02.2023,36.5686
245,09.02.2023,36.5686
246,08.02.2023,36.5686
247,07.02.2023,36.5686
248,06.02.2023,36.5686
249,05.02.2023,36.5686
250,04.02.2023,36.5686
251,03.02.2023,36.5686
252,02.02.2023,36.5686
253,01.02.2023,36.5686
254,31.01.2023,36.5686
255,30.01.2023,36.5686
256,29.01.2023,36.5686
257,28.01.2023,36.5686
258,27.01.2023,36.5686
259,26.01.2023,36.5686
260,25.01.2023,36.5686
261,24.01.2023,36.5686
262,23.01.2023,36.5686
263,22.01.2023,36.5686
264,21.01.2023,36.5686
265,20.01.2023,36.5686
266,19.01.2023,36.5686
267,18.01.2023,36.5686
268,17.01.2023,36.5686
269,16.01.2023,36.5686
270,15.01.2023,36.5686
271,14.01.2023,36.5686
272,13.01.2023,36.5686
273,12.01.2023,36.5686
274,11.01.2023,36.5686
275,10.01.2023,36.5686
276,09.01.2023,36.5686
277,08.01.2023,36.5686
278,07.01.2023,36.5686
279,06.01.2023,36.5686
280,05.01.2023,36.5686
281,04.01.2023,36.5686
282,03.01.2023,36.5686
283,02.01.2023,36.5686
284,01.01.2023,36.5686
285,31.12.2022,36.5686
286,30.12.2022,36.5686
287,29.12.2022,36.5686
288,28.12.2022,36.5686
289,27.12.2022,36.5686
290,26.12.2022,36.5686
291,25.12.2022,36.5686
292,24.12.2022,36.5686
293,23.12.2022,36.5686
294,22.12.2022,36.5686
295,21.12.2022,36.5686
296,20.12.2022,36.5686
297,19.12.2022,36.5686
298,18.12.2022,36.5686
299,17.12.2022,36.5686
300,16.12.2022,36.5686
301,15.12.2022,36.5686
302,14.12.2022,36.5686
303,13.12.2022,36.5686
304,12.12.2022,36.5686
305,11.12.2022,36.5686
306,10.12.2022,36.5686
307,09.12.2022,36.5686
308,08.12.2022,36.5686
309,07.12.2022,36.5686
310,06.12.2022,36.5686
311,05.12.2022,36.5686
312,04.12.2022,36.5686
313,03.12.2022,36.5686
314,02.12.2022,36.5686
315,01.12.2022,36.5686
316,30.11.2022,36.5686
317,29.11.2022,36.5686
318,28.11.2022,36.5686
319,27.11.2022,36.5686
320,26.11.2022,36.5686
321,25.11.2022,36.5686
322,24.11.2022,36.5686
323,23.11.2022,36.5686
324,22.11.2022,36.5686
325,21.11.2022,36.5686
326,20.11.2022,36.5686
327,19.11.2022,36.5686
328,18.11.2022,36.5686
329,17.11.2022,36.5686
330,16.11.2022,36.5686
331,15.11.2022,36.5686
332,14.11.2022,36.5686
333,13.11.2022,36.5686
334,12.11.2022,36.5686
335,11.11.2022,36.5686
336,10.11.2022,36.5686
337,09.11.2022,36.5686
338,08.11.2022,36.5686
339,07.11.2022,36.5686
340,06.11.2022,36.5686
341,05.11.2022,36.5686
342,04.11.2022,36.5686
343,03.11.2022,36.5686
344,02.11.2022,36.5686
345,01.11.2022,36.5686
346,31.10.2022,36.5686
347,30.10.2022,36.5686
348,29.10.2022,36.5686
349,28.10.2022,36.5686
350,27.10.2022,36.5686
351,26.10.2022,36.5686
352,25.10.2022,36.5686
353,24.10.2022,36.5686
354,23.10.2022,36.5686
355,22.10.2022,36.5686
356,21.10.2022,36.5686
357,20.10.2022,36.5686
358,19.10.2022,36.5686
359,18.10.2022,36.5686
360,17.10.2022,36.5686
361,16.10.2022,36.5686
362,15.10.2022,36.5686
363,14.10.2022,36.5686
364,13.10.2022,36.5686
365,12.10.2022,36.5686
366,11.10.2022,36.5686
367,10.10.2022,36.5686
368,09.10.2022,36.5686
369,08.10.2022,36.5686
370,07.10.2022,36.5686
371,06.10.2022,36.5686
372,05.10.2022,36.5686
373,04.10.2022,36.5686
374,03.10.2022,36.5686
375,02.10.2022,36.5686
376,01.10.2022,36.5686
377,30.09.2022,36.5686
378,29.09.2022,36.5686
379,28.09.2022,36.5686
380,27.09.2022,36.5686
381,26.09.2022,36.5686
382,25.09.2022,36.5686
383,24.09.2022,36.5686
384,23.09.2022,36.5686
385,22.09.2022,36.5686
386,21.09.2022,36.5686
387,20.09.2022,36.5686
388,19.09.2022,36.5686
389,18.09.2022,36.5686
390,17.09.2022,36.5686
391,16.09.2022,36.5686
392,15.09.2022,36.5686
393,14.09.2022,36.5686
394,13.09.2022,36.5686
395,12.09.2022,36.5686
396,11.09.2022,36.5686
397,10.09.2022,36.5686
398,09.09.2022,36.5686
399,08.09.2022,36.5686
400,07.09.2022,36.5686
401,06.09.2022,36.5686
402,05.09.2022,36.5686
403,04.09.2022,36.5686
404,03.09.2022,36.5686
405,02.09.2022,36.5686
406,01.09.2022,36.5686
407,31.08.2022,36.5686
408,30.08.2022,36.5686
409,29.08.2022,36.5686
410,28.08.2022,36.5686
411,27.08.2022,36.5686
412,26.08.2022,36.5686
413,25.08.2022,36.5686
414,24.08.2022,36.5686
415,23.08.2022,36.5686
416,22.08.2022,36.5686
417,21.08.2022,36.5686
418,20.08.2022,36.5686
419,19.08.2022,36.5686
420,18.08.2022,36.5686
421,17.08.2022,36.5686
422,16.08.2022,36.5686
423,15.08.2022,36.5686
424,14.08.2022,36.5686
425,13.08.2022,36.5686
426,12.08.2022,36.5686
427,11.08.2022,36.5686
428,10.08.2022,36.5686
429,09.08.2022,36.5686
430,08.08.2022,36.5686
431,07.08.2022,36.5686
432,06.08.2022,36.5686
433,05.08.2022,36.5686
434,04.08.2022,36.5686
435,03.08.2022,36.5686
436,02.08.2022,36.5686
437,01.08.2022,36.5686
438,31.07.2022,36.5686
439,30.07.2022,36.5686
440,29.07.2022,36.5686
441,28.07.2022,36.5686
442,27.07.2022,36.5686
443,26.07.2022,36.5686
444,25.07.2022,36.5686
445,24.07.2022,36.5686
446,23.07.2022,36.5686
447,22.07.2022,36.5686
448,21.07.2022,36.5686
449,20.07.2022,29.2549
450,19.07.2022,29.2549
451,18.07.2022,29.2549
452,17.07.2022,29.2549
453,16.07.2022,29.2549
454,15.07.2022,29.2549
455,14.07.2022,29.2549
456,13.07.2022,29.2549
457,12.07.2022,29.2549
458,11.07.2022,29.2549
459,10.07.2022,29.2549
460,09.07.2022,29.2549
461,08.07.2022,29.2549
462,07.07.2022,29.2549
463,06.07.2022,29.2549
464,05.07.2022,29.2549
465,04.07.2022,29.2549
466,03.07.2022,29.2549
467,02.07.2022,29.2549
468,01.07.2022,29.2549
469,30.06.2022,29.2549
470,29.06.2022,29.2549
471,28.06.2022,29.2549
472,27.06.2022,29.2549
473,26.06.2022,29.2549
474,25.06.2022,29.2549
475,24.06.2022,29.2549
476,23.06.2022,29.2549
477,22.06.2022,29.2549
478,21.06.2022,29.2549
479,20.06.2022,29.2549
480,19.06.2022,29.2549
481,18.06.2022,29.2549
482,17.06.2022,29.2549
483,16.06.2022,29.2549
484,15.06.2022,29.2549
485,14.06.2022,29.2549
486,13.06.2022,29.2549
487,12.06.2022,29.2549
488,11.06.2022,29.2549
489,10.06.2022,29.2549
490,09.06.2022,29.2549
491,08.06.2022,29.2549
492,07.06.2022,29.2549
493,06.06.2022,29.2549
494,05.06.2022,29.2549
495,04.06.2022,29.2549
496,03.06.2022,29.2549
497,02.06.2022,29.2549
498,01.06.2022,29.2549
499,31.05.2022,29.2549
500,30.05.2022,29.2549
501,29.05.2022,29.2549
502,28.05.2022,29.2549
503,27.05.2022,29.2549
504,26.05.2022,29.2549
505,25.05.2022,29.2549
